Date,Close/Last,Volume,Open,High,Low
05/16/2025,$166.19,42846930,$167.725,$169.35,$165.62
05/15/2025,$163.96,33146670,$165.84,$166.205,$162.3732
05/14/2025,$165.37,48755870,$159.96,$167.00,$159.61
05/13/2025,$159.53,42382130,$158.79,$160.57,$156.16
05/12/2025,$158.46,44138820,$157.485,$159.10,$156.25
05/09/2025,$152.75,32435280,$154.17,$155.05,$152.20
05/08/2025,$154.28,57498690,$155.00,$155.93,$152.90
05/07/2025,$151.38,127747600,$164.08,$165.00,$147.84
05/06/2025,$163.23,21277210,$162.17,$164.80,$161.19
05/05/2025,$164.21,21341810,$163.00,$165.39,$162.72
05/02/2025,$164.03,25715010,$163.405,$164.97,$161.87
05/01/2025,$161.30,30203250,$160.45,$161.95,$158.91
04/30/2025,$158.80,34981060,$157.975,$159.27,$155.40
04/29/2025,$160.16,26808960,$160.325,$160.74,$157.52
04/28/2025,$160.61,29745780,$162.425,$163.15,$158.60
04/25/2025,$161.96,56034000,$165.07,$166.10,$161.04
04/24/2025,$159.28,45893950,$156.15,$159.59,$155.79
04/23/2025,$155.35,31128830,$155.61,$157.525,$153.81
04/22/2025,$151.47,26971770,$148.89,$152.19,$148.54
04/21/2025,$147.67,26049120,$148.88,$148.945,$146.10
04/17/2025,$151.16,33046580,$154.29,$154.68,$148.50
04/16/2025,$153.33,28187420,$153.10,$155.89,$151.51
04/15/2025,$156.31,27551530,$159.125,$159.65,$155.21
04/14/2025,$159.07,30332960,$159.995,$161.72,$157.56
04/11/2025,$157.14,33636240,$152.90,$157.67,$152.82
04/10/2025,$152.82,48021970,$156.54,$157.72,$149.93
04/09/2025,$158.71,70406230,$144.415,$159.55,$143.905
04/08/2025,$144.70,52200210,$151.22,$152.24,$143.03
04/07/2025,$146.75,76794140,$141.55,$152.85,$140.53
04/04/2025,$145.60,62259540,$148.01,$151.07,$145.38
04/03/2025,$150.72,46883370,$151.11,$152.7799,$150.39
04/02/2025,$157.04,25041730,$155.15,$158.4052,$154.70
04/01/2025,$157.07,30672900,$153.62,$158.10,$153.62
03/31/2025,$154.64,54603460,$153.11,$155.54,$150.662
03/28/2025,$154.33,48669340,$160.49,$161.82,$153.63
03/27/2025,$162.24,24508270,$164.63,$165.42,$162.00
03/26/2025,$165.06,28939330,$169.00,$169.61,$164.84
03/25/2025,$170.56,24174370,$168.98,$170.63,$168.315
03/24/2025,$167.68,30879130,$167.065,$168.32,$165.14
03/21/2025,$163.99,36625760,$161.205,$164.24,$160.8901
03/20/2025,$162.80,28138460,$161.57,$164.89,$160.96
03/19/2025,$163.89,34275580,$161.76,$165.87,$161.00
03/18/2025,$160.67,42074750,$163.675,$164.25,$156.72
03/17/2025,$164.29,31184340,$165.03,$166.30,$163.67
03/14/2025,$165.49,31995890,$163.27,$166.49,$162.45
03/13/2025,$162.76,31756210,$166.035,$166.13,$162.11
03/12/2025,$167.11,28372400,$166.58,$167.6399,$163.53
03/11/2025,$164.04,39587410,$164.91,$166.75,$161.37
03/10/2025,$165.87,43604030,$168.26,$168.46,$163.69
03/07/2025,$173.86,27385810,$171.26,$174.97,$170.27
03/06/2025,$172.35,28301950,$170.53,$174.81,$170.50
03/05/2025,$173.02,30954920,$170.52,$173.78,$169.06
03/04/2025,$170.92,45388000,$166.24,$173.2946,$165.80
03/03/2025,$167.01,40770450,$171.925,$173.37,$165.93
02/28/2025,$170.28,48130570,$168.68,$170.61,$166.77
02/27/2025,$168.50,39991020,$173.99,$174.56,$167.94
02/26/2025,$172.73,35431270,$175.07,$176.08,$171.5807
02/25/2025,$175.42,41913410,$178.04,$178.74,$174.6939
02/24/2025,$179.25,29854210,$181.99,$183.12,$178.885
02/21/2025,$179.66,35199240,$185.15,$185.34,$179.08
02/20/2025,$184.56,20441460,$184.80,$185.31,$182.72
02/19/2025,$185.27,19549400,$184.07,$185.46,$183.59
02/18/2025,$183.77,29916680,$185.60,$185.96,$181.7401
02/14/2025,$185.23,20448440,$185.055,$186.40,$184.32
02/13/2025,$186.14,21402520,$184.32,$186.28,$183.14
02/12/2025,$183.61,22072560,$183.22,$185.11,$181.83
02/11/2025,$185.32,21239520,$185.03,$186.94,$184.28
02/10/2025,$186.47,23105650,$187.35,$188.20,$185.86
02/07/2025,$185.34,49314960,$191.05,$191.18,$183.24
02/06/2025,$191.60,29297440,$189.50,$192.10,$188.72
02/05/2025,$191.33,70461770,$191.07,$192.75,$188.03
02/04/2025,$206.38,43856430,$203.39,$207.05,$202.81
02/03/2025,$201.23,27838350,$200.69,$203.75,$200.10
01/31/2025,$204.02,32041950,$202.00,$205.48,$201.80
01/30/2025,$200.87,24354680,$198.00,$201.40,$197.67
01/29/2025,$195.41,18218260,$195.555,$196.785,$193.43
01/28/2025,$195.30,24157930,$192.745,$195.48,$190.68
01/27/2025,$191.81,41728890,$192.41,$196.88,$190.73
01/24/2025,$200.21,23877520,$198.10,$200.90,$198.00
01/23/2025,$197.98,26951360,$198.14,$200.30,$195.20
01/22/2025,$198.37,26200620,$199.06,$200.48,$197.53
01/21/2025,$198.05,29971290,$199.07,$202.29,$197.87
01/17/2025,$196.00,27735090,$196.53,$197.23,$193.75
01/16/2025,$192.91,17815430,$194.14,$195.48,$192.81
01/15/2025,$195.55,21775970,$193.09,$196.36,$191.86
01/14/2025,$189.66,17174850,$191.24,$191.98,$188.3082
01/13/2025,$191.01,21823700,$190.07,$191.18,$187.36
01/10/2025,$192.04,26665210,$194.295,$196.52,$190.31
01/08/2025,$193.95,24864770,$192.57,$196.29,$192.38
